ilosc_wnioskow,stan_wniosku_dla_wszystkich_jezykow,,ilosc_wnioskow,stan_wnioskow_dla_10,jezyk
43326,wyplacony,,1633,wyplacony,da
6417,odrzucony po analizie,,830,odrzucony po analizie,da
5439,odrzucony prawnie,,539,odrzucony prawnie,da
4973,odrzucony przez operatora,,362,odrzucony przez operatora,da
,,,458,wyplacony,de
,,,290,odrzucony po analizie,de
ilosc_wnioskow,stan_wniosku_dla_en,,286,odrzucony prawnie,de
32830,wyplacony,,142,odrzucony przez operatora,de
3623,odrzucony przez operatora,,234,wyplacony,es
3320,odrzucony prawnie,,123,odrzucony po analizie,es
2836,odrzucony po analizie,,97,odrzucony prawnie,es
,,,65,odrzucony przez operatora,es
,,,378,wyplacony,fi
,,,325,odrzucony po analizie,fi
,,,146,odrzucony prawnie,fi
,,,95,odrzucony przez operatora,fi
,,,271,odrzucony po analizie,it
,,,206,wyplacony,it
,,,168,odrzucony prawnie,it
,,,103,odrzucony przez operatora,it
,,,658,odrzucony po analizie,nb
,,,315,wyplacony,nb
,,,154,odrzucony prawnie,nb
,,,92,odrzucony przez operatora,nb
,,,6108,wyplacony,pl
,,,146,odrzucony prawnie,pl
,,,124,odrzucony po analizie,pl
,,,102,odrzucony przez operatora,pl
,,,357,wyplacony,pt
,,,215,odrzucony prawnie,pt
,,,133,odrzucony po analizie,pt
,,,121,odrzucony przez operatora,pt
,,,587,wyplacony,sv
,,,494,odrzucony po analizie,sv
,,,230,odrzucony prawnie,sv
,,,185,odrzucony przez operatora,sv
